"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"483","NN4_MAE","g2",1,1,0.1,0.0471027271534665,0.00467603690334515,0.0638094856358617,-0.00402596796472421,0.0287592935156149,0.00178951382777987,0.0369082483445931,-0.0298111315319543
"484","NN4_MAE","g2",1,1,1,0.0474745138286186,0.00474213814647202,0.0642545404915731,-0.0230948410250878,0.0293991999440383,0.00185518964206148,0.0376143442074652,-0.0527692330555624
"485","NN4_MAE","g2",2,0,0,0.0561860983518354,0.00531267554972321,0.0728417645108325,0.000581581007328147,0.0545349762579598,0.0049897462096341,0.0704600075506981,-0.0148346819604883
"486","NN4_MAE","g2",2,1,0.01,0.0418786413495812,0.00378944927465135,0.0564789168050041,-0.0065810251160269,0.0389143122952167,0.00301769878945956,0.0496409973630027,-0.0189899294022348
"487","NN4_MAE","g2",2,1,0.1,0.0418167359661294,0.00378192343001089,0.0563944091329483,-0.00305491111198428,0.0389429467570838,0.00301913810478552,0.0496830911356508,-0.0277534961062738
"488","NN4_MAE","g2",2,1,1,0.0420668726602461,0.00380860314480828,0.0566337748507054,-0.0119504270138404,0.0390762354896606,0.00304029839900349,0.0498292376001339,-0.0270226398076477
"489","NN4_MAE","g2",3,0,0,0.0556736133607509,0.00521626227381763,0.0721808705937462,-3.32478094037913e-05,0.0551696585001787,0.00508050199042066,0.0712194730602421,-0.0209579767556818
"490","NN4_MAE","g2",3,1,0.01,0.0408009891298821,0.00360226112612288,0.0550765320518273,-0.00829981621006881,0.0433113813735125,0.00346023933053751,0.0561343639413976,-0.00664095737865946
"491","NN4_MAE","g2",3,1,0.1,0.0406618655828044,0.00358515662147162,0.0548681615082465,0.00298152972653749,0.043097621124155,0.0034394142645241,0.0559253106249089,0.000229459907975582
"492","NN4_MAE","g2",3,1,1,0.0410157159587583,0.0036165852564828,0.0552759632763395,-0.0168661887304487,0.0434936721580683,0.00348868519077193,0.0563682112088048,-0.00833829673635795
"493","NN4_MAE","g3",1,0,0,0.0566053142488415,0.00541250674007219,0.0735246956224204,0.00539071971963869,0.055467795044037,0.0051237224189633,0.0714725492763661,0.0282392339076619
"494","NN4_MAE","g3",1,1,0.01,0.0470101639886187,0.00467816550129539,0.0638010988236456,0.00259842059282231,0.0283272868375831,0.00175659080654912,0.0364612928400776,0.00272259340232102
