"","model","dgp_spec","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare","validation_MAE_ave","validation_MSE_ave","validation_RMSE_ave","validation_RSquare_ave","test_MAE_ave","test_MSE_ave","test_RMSE_ave","test_RSquare_ave"
"31","ELN_MAE","g2",1,0.01,0.0423402758816441,0.00394834992514662,0.057636270919048,0.0379517433586179,0.0361949981693605,0.00268815450754342,0.046646211537846,0.039169428326937,0.0416963786760385,0.00389703689567813,0.0570699842334412,0.0721750772631917,0.035369369224781,0.00262479957266755,0.04576840861206,0.0935313180936578
"32","ELN_MAE","g2",1,0.1,0.0423147112708636,0.00394113886561371,0.0575773656069594,0.038543060176381,0.0361729886003004,0.00268772859897653,0.0466200178759925,0.0388747044546648,0.0416855977627196,0.00389329019390502,0.0570386134212951,0.0714746307693094,0.0353387586470101,0.00262268631429457,0.0457342529478687,0.0948068526967148
"33","ELN_MAE","g2",1,1,0.0423395432430756,0.00393956911570124,0.0575917453392883,0.0367113117895317,0.0363047045089628,0.00270281717216609,0.0468168806721094,0.0365834001608582,0.0417042834067443,0.00389112434947886,0.0570429413994625,0.072616069300134,0.0354562678946232,0.0026334987284888,0.04587550269785,0.107459037948115
"34","ELN_MAE","g3",1,0.01,0.0417408396903391,0.00390126537772482,0.0571258550188461,0.069345623003936,0.0353344895991633,0.00262103093761921,0.0457537982555819,0.100442403955176,0.0416963786760385,0.00389703689567813,0.0570699842334412,0.0721750772631917,0.035369369224781,0.00262479957266755,0.04576840861206,0.0935313180936578
"35","ELN_MAE","g3",1,0.1,0.0417410621107241,0.00389790634136064,0.0570964403364958,0.0670208208739375,0.0352851304219043,0.00261665964890571,0.045696646982154,0.100918637975614,0.0416855977627196,0.00389329019390502,0.0570386134212951,0.0714746307693094,0.0353387586470101,0.00262268631429457,0.0457342529478687,0.0948068526967148
"36","ELN_MAE","g3",1,1,0.041770313335488,0.00389329568847908,0.0570923515068907,0.0703638134635227,0.0354651593028614,0.00263098051095682,0.0458805321096399,0.118022498304944,0.0417042834067443,0.00389112434947886,0.0570429413994625,0.072616069300134,0.0354562678946232,0.0026334987284888,0.04587550269785,0.107459037948115
"37","RF_MSE","g1",1,0.01,0.0422325251282193,0.00394439555810981,0.0575833623266667,0.055460472158376,0.0357752049350458,0.00267095329366243,0.0463094798280975,0.063425744999329,0.0421766707978372,0.00393991823127004,0.0575282890362008,0.0508252518994153,0.035765450808686,0.00266313491893417,0.0462657436683841,0.0671127008975126
"38","RF_MSE","g1",1,0.1,0.0422815870274581,0.00395134498839845,0.0576333715179795,0.0529012854676159,0.0357694769856634,0.00266485201191878,0.0462672305026288,0.0667382043017808,0.0421966196879748,0.0039426749120798,0.0575416212006033,0.048780162838397,0.0357735169192735,0.00266255220079283,0.0462609048643539,0.0662385454648378
"39","RF_MSE","g1",1,1,0.0425159175356417,0.00396231409830989,0.0578323648002652,0.0432532202779357,0.0362325240993856,0.00269771644333801,0.0467553204097365,0.0687740755100827,0.0424287429457477,0.00395644256949403,0.0577422070261973,0.0397275528856068,0.0361449148905112,0.00269207634454907,0.0466729883332893,0.0652547935127505
"40","RF_MSE","g2",1,0.01,0.0421191403209987,0.00393528059378369,0.057459061069911,0.0478312044463385,0.0357179034563724,0.00265712201066478,0.0462018385625369,0.0676146722029287,0.0421766707978372,0.00393991823127004,0.0575282890362008,0.0508252518994153,0.035765450808686,0.00266313491893417,0.0462657436683841,0.0671127008975126
"41","RF_MSE","g2",1,0.1,0.0421112519043095,0.00393538355891621,0.057442323546689,0.0477047032090484,0.035684467316462,0.00265245306487131,0.0461354581253004,0.0691388564987279,0.0421966196879748,0.0039426749120798,0.0575416212006033,0.048780162838397,0.0357735169192735,0.00266255220079283,0.0462609048643539,0.0662385454648378
"42","RF_MSE","g2",1,1,0.0422780238552468,0.00394605827439302,0.0575830850119047,0.0397266908667366,0.035989311717487,0.00268331709928428,0.046513283195786,0.0571034932328168,0.0424287429457477,0.00395644256949403,0.0577422070261973,0.0397275528856068,0.0361449148905112,0.00269207634454907,0.0466729883332893,0.0652547935127505
