yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
197001,0.0691,-0.0727,-0.096,209.179
197002,0.0788,0.1416,0.1486,161.1352
197003,0.0756,-0.036,-0.0088,174.8429
197004,0.0688,-0.087,-0.105,211.3283
197005,0.0656,-0.044,-0.0469,232.2706
197006,0.0662,0.0105,-0.003,228.1091
197007,0.0715,0.0808,0.093,195.833
197008,0.0738,0.0358,0.0428,183.4763
197009,0.07,-0.0481,-0.0185,203.8182
197010,0.0658,-0.0588,-0.0677,231.2686
197011,0.0684,0.042,0.0461,213.6244
197012,0.0725,0.0621,0.0882,190.1067
197101,0.0706,-0.0233,-0.0147,200.4905
197102,0.0716,0.0163,0.0236,195.0951
197103,0.0761,0.0662,0.0996,172.5107
197104,0.0728,-0.0405,-0.0394,188.7554
197105,0.0681,-0.0617,-0.0694,215.7244
197106,0.0632,-0.0698,-0.0303,250.3768
197107,0.0613,-0.0292,-0.0371,266.1159
197108,0.0623,0.0169,0.0296,257.5166
197109,0.0615,-0.013,0.0091,264.677
197110,0.0605,-0.0148,-0.0218,272.9222
197111,0.0631,0.043,0.039,250.9673
197112,0.0786,0.2461,0.0554,161.8508
197201,0.0782,-0.0014,-0.0026,163.5819
197202,0.0764,-0.0184,-0.0193,171.1153
197203,0.0896,0.1757,0.1154,124.5437
197204,0.0891,0.0003,-0.005,125.8452
197205,0.0866,-0.0229,-0.0308,133.304
197206,0.0774,-0.1009,-0.0225,166.7841
197207,0.08,0.0373,0.0378,156.1207
197208,0.0859,0.0777,0.0771,135.4632
197209,0.0819,-0.0416,-0.0033,149.0376
197210,0.0812,-0.0043,-0.0066,151.673
197211,0.0813,0.0056,0.0049,151.3121
197212,0.0791,-0.0223,0.0031,159.7084
197301,0.0745,-0.0539,-0.0605,179.9621
197302,0.0706,-0.0493,-0.0563,200.5033
197303,0.0673,-0.0442,-0.0047,220.6194
197304,0.0637,-0.0522,-0.0556,246.5429
197305,0.0627,-0.0151,-0.0168,254.665
197306,0.0627,0.0013,0.0501,254.3526
197307,0.0678,0.0817,0.0901,217.692
197308,0.0668,-0.0123,-0.0133,224.0092
197309,0.0676,0.0131,0.09,218.9789
197310,0.0675,0.0008,0.0017,219.4536
197311,0.0624,-0.0743,-0.082,257.125
197312,0.0608,-0.025,0.028,270.8155
