yyyymmdd,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
20150717,0.06615752358496328,-0.0010545319972629086,-0.0007530539740826514,228.47649061550655
20150720,0.06618981818854522,0.0005065959002325663,0.0013892537655102455,228.25359356390558
20150721,0.06622272438844358,0.0005159765715375452,-0.001599077878254529,228.02681061766467
20150722,0.06631908387132662,0.0014742950307533992,0.003230194629897376,227.36466085400562
20150723,0.0661328603959339,-0.0027876521202240424,-0.002091669421278586,228.64693567343454
20150724,0.0653956808394588,-0.011128788753922899,-0.010646674451470828,233.83088252627743
20150727,0.06468253434508774,-0.010895696763336541,-0.01460538200496897,239.01543332607363
20150728,0.06516560850455799,0.0074691308233740365,0.00750501536744963,235.48491407539362
20150729,0.06584635266662146,0.010453002651980214,0.011459946630991258,230.64102135538252
20150730,0.06592446448653104,0.0012010538682701865,0.004958694384269657,230.09478660343373
20150731,0.06606625689214915,0.002166535435944697,-0.00167149486907181,229.10818061223233
20150803,0.06589274334794254,-0.002608980253553559,-0.0011569476386597,230.3163777863676
20150804,0.06570124312268691,-0.0028909125027137177,-0.0017754987181940463,231.6609464353371
20150805,0.06607166198361183,0.005650984693857739,0.008939364581691978,229.070697068416
20150806,0.06583012062193795,-0.003638308372225078,-0.004199352504926868,230.75477587654487
20150807,0.06548404230351462,-0.005242554932455457,-0.005196755096578687,233.20026479366285
20150810,0.0662164676667236,0.011195255464360315,0.008853804580359448,228.06990466217297
20150811,0.06532481520303808,-0.013446580851022558,-0.012085493216477672,234.33848633028262
20150812,0.06459117461775651,-0.011222104850598692,-0.017825262350038784,239.69205294075866
20150813,0.06456097906617003,-0.0004678660244048845,0.0036132158432906625,239.91631615349797
20150814,0.06466601011887478,0.0016260996844692712,0.0008902337862057852,239.1376010521702
20150817,0.06471660741117392,0.0007829818120935316,0.0024823046877153754,238.76381801154014
20150818,0.0646985638643172,-0.00027764608688082235,-0.0007404081036357368,238.89701252536616
20150819,0.06395778541931667,-0.011448747984088752,-0.01197867971774702,244.4630156305819
20150820,0.06276505058282937,-0.01865703657388655,-0.022999994945169466,253.84244000638705
20150821,0.061008289344606184,-0.028012996981463846,-0.0327360108328385,268.671935930826
20150824,0.05831042281518197,-0.04426839090983112,-0.05004756637424279,294.10852892582665
20150825,0.058890974757228244,0.009870196095216716,0.014738580925958145,288.33842007519087
20150826,0.059938610208018724,0.01771205629426255,0.02198286954937223,278.34707535503014
20150827,0.061242775233101066,0.021696241014978933,0.026334992084793507,266.6184962939742
20150828,0.06117245504127089,-0.001192076708843848,-0.0004371464389817392,267.23182593598085
20150831,0.061124570782868495,-0.0008275954516539098,-0.0005906781203078859,267.6506823741281
20150901,0.05910940251946686,-0.03301369784462631,-0.036062483674545676,286.21135582798655
20150902,0.05946391846377961,0.005923496991209071,0.00895740358770758,282.8088210853694
20150903,0.059870249252460234,0.006764286728864953,0.008491413635818068,278.9830819054561
20150904,0.05862183215721985,-0.020915127940094123,-0.021650079815966006,290.99211737518885
20150908,0.05991779083280802,0.0220257455811221,0.021176318208839362,278.54054106542935
20150909,0.060056485252313135,0.002252342379890954,0.003389844337035486,277.2555038173614
20150910,0.059969218808427274,-0.00151349590369474,-0.003924961915986902,278.0630082854588
20150911,0.05991574220396829,-0.0009534019063853653,-0.0010350824638291067,278.55958901242445
20150914,0.05955834701198903,-0.006027395254113798,-0.0066546177636058745,281.91275672368363
20150915,0.060235861207025176,0.011308061588334578,0.013830752908622124,275.6066879802008
20150916,0.06079899046158403,0.009290861246833324,0.00695336072249364,270.5249116299253
20150917,0.0600842420646567,-0.011805903714280712,-0.012111506426020435,276.99939835117385
20150918,0.05875931519857181,-0.022111181881350323,-0.025806858336157035,289.63200355252076
20150921,0.05904462621178833,0.0047762839610328445,0.009117404453993894,286.8396902168478
20150922,0.057936947716564685,-0.018835102014812696,-0.01699635584581738,297.9125348483265
20150923,0.05778706216677335,-0.0026787575453262958,-0.0007802994916425998,299.45996403459765
20150924,0.05717006839518331,-0.010771033667325491,-0.012115164473256224,305.95853759589505
20150925,0.05826941417951431,0.019125790564709113,0.022484489290071963,294.5226478525037
20150928,0.05685594505556265,-0.024344132741787004,-0.02604240778343936,309.34865671141335
20150929,0.056598220843836027,-0.004641500862553039,-0.0034810038413125577,312.1723553401092
20150930,0.058097037018649815,0.02636900237667159,0.01945912005947048,296.2729710240741
20151001,0.0584720736405559,0.0063660799178058254,0.00517058482711974,292.48460265137805
20151002,0.05840486925250152,-0.0012329396252905985,-0.0015632985155417112,293.15809299074203
20151005,0.05968326927319392,0.021803977510590083,0.02383044958102354,280.7338560650864
20151006,0.060013347730721076,0.0054647309929663265,0.0030643916509216496,277.6542289074632
20151007,0.06046289754303752,0.0074297925606847575,0.007405311602031173,273.54078456484166
20151008,0.06043803656095712,-0.0004658518279536092,-0.0016417091136711193,273.76587100411655
20151009,0.060535458145014445,0.0015569012452321495,-0.0006353856234269095,272.8854202852877
20151012,0.06047183076837911,-0.0011047322369802175,-0.0013986440605732176,273.45997269106226
20151013,0.05997898882062768,-0.00820449141787592,-0.006957194671819877,277.97242797471546
20151014,0.05965042783713752,-0.005539462860905456,-0.00981214677742348,281.0430656161314
20151015,0.060861709037198224,0.020240083669153527,0.01975323115695371,269.967641875328
20151016,0.061175041073883524,0.005099154496517352,0.0076061540010323725,267.2092332054104
20151019,0.060950239607664214,-0.00371951034128421,-0.0022006514673698074,269.1839523682666
20151020,0.0610316971237688,0.0012885774452237348,0.0010370415265075206,268.4658853829278
20151021,0.06039264139284751,-0.010517639650232577,-0.008984703479471667,274.17758733835245
20151022,0.06081373818950459,0.006916988156435896,0.012966453900972397,270.3937194304046
20151023,0.06155485971872282,0.012136971724401561,0.016324381982280256,263.9218265350293
20151026,0.06149100154530571,-0.0010770231908596836,-0.0018245757477407532,264.4702748128569
20151027,0.061149973238495414,-0.005586458066813233,-0.0037231377268999166,267.4283577505393
20151028,0.06250236011572809,0.022070773693687356,0.021571463895675436,255.9806670270357
20151029,0.06157615806723312,-0.014845627861245646,-0.012908907034034578,263.73928423012126
20151030,0.06115157112949044,-0.006934629578293334,-0.011148974052073823,267.41438212329655
20151102,0.06159910014981957,0.007273249495722459,0.009021950183798255,263.542865722281
20151103,0.061478688326715776,-0.0019937709627483855,-0.00033131499227045946,264.5762239312899
20151104,0.06158065016950861,0.0016178526851674297,0.0019197529056544926,263.70080783781236
20151105,0.06172688268659027,0.0023353955806578153,0.004590574609970144,262.4528602831152
20151106,0.06279006165877772,0.017186642482423773,0.02462741458344464,253.6402548863365
20151109,0.06250518886683351,-0.004560098190099049,-0.006364274704585227,255.95749809585442
20151110,0.062468915648953384,-0.0006072407812321667,-0.00016188619024615214,256.25483309972805
20151111,0.06233177416059738,-0.002222750307490417,-0.0033055420296084215,257.3836901051813
20151112,0.061351679824463407,-0.015753035550670286,-0.01732031834254466,265.67279414621134
20151113,0.060750074210268706,-0.009848221739052051,-0.009041266322259989,270.96074294042126
20151116,0.061042172568701335,0.004757539005285395,0.005606682489209369,268.37375044830986
20151117,0.06125895640221692,0.0035047653795545063,0.00439148270971601,266.4776636893401
20151118,0.06191132914230146,0.010605791308136119,0.012363668227535651,260.8913887026736
20151119,0.06223975752695883,0.005270019009937434,0.002594849623654749,258.1452961532565
20151120,0.061783333181364745,-0.00736374658460094,-0.005204891717584981,261.9734809856995
20151123,0.06151516123088521,-0.004377041113624838,-0.0069514645557782195,264.2625775936508
20151124,0.061313290513949334,-0.00332178449441131,-0.004104748819026116,266.0055829490211
20151125,0.061283305154038306,-0.000531943492803064,0.00134079732514647,266.26595482295033
20151127,0.061434685483671946,0.0024268705776383267,0.000666316572308645,264.9553672545108
20151130,0.06127983005221596,-0.0025618880780434315,-0.002106068465135391,266.2961548917292
20151201,0.06221978619117182,0.015295403015396718,0.01577939843999543,258.3110419429925
20151202,0.06174194997398645,-0.007710498168168834,-0.006317592065883115,262.32477977512445
20151203,0.06122311627017815,-0.00844033652805477,-0.015954986394053683,266.7897481013209
20151204,0.06184746398642629,0.010153782335023509,0.011832040746831973,261.4304721460948
20151207,0.061066180468741314,-0.01266808261293664,-0.011272984845268508,268.1627720118528
20151208,0.059994889035447856,-0.017589403547109604,-0.018451880179001012,277.8251075710675
20151209,0.05988586449047124,-0.0018785317588861073,-0.00567605511681013,278.83761120721664
20151210,0.05984970197796068,-0.0006667170787513131,0.00029561018416335294,279.174672699509
20151211,0.05847797633686561,-0.02298288471015024,-0.024417282720714528,292.4255595462611
20151214,0.05817511163395409,-0.005262633542087315,-0.004890153432267064,295.47827117042533
20151215,0.05949980917225949,0.022682781631681612,0.026639567132736408,282.46773939939
20151216,0.0604829186391836,0.016454476301938737,0.018718298815141532,273.35971923138186
20151217,0.05994545849884255,-0.008940540705962445,-0.004212249129026846,278.28348111835066
20151218,0.058992998696225464,-0.01595078051277586,-0.017975468874310896,287.3419633964383
20151221,0.05922466761252758,0.0038512166357743795,0.0040501269601882495,285.0983711011542
20151222,0.05947383073838507,0.004134648218058902,0.0037479000409252894,282.71455962432674
20151223,0.06034462136567682,0.014572774294139805,0.01524649311458015,274.61412181020717
20151224,0.06038239754216153,0.0005696679544207782,-0.0005676267997412054,274.2706234754498
20151228,0.06021564076327386,-0.002817485548844939,-0.003048347444185029,275.79181679891803
20151229,0.06066196532696733,0.0073539409385234384,0.009775992653212162,271.7484321081592
20151230,0.060824863574175346,0.0026334574456759246,-0.009643035483402729,270.29481385631317
20151231,0.0626751878307633,0.030370905622147466,-0.008378045285580948,254.57087286992697
20160104,0.06118232874821978,-0.023843669157522986,-0.02151500848830623,267.14558025418484
20160105,0.0611381041391248,-0.0007675181581120402,0.0009214571033921981,267.53220270628265
20160106,0.060024251345912556,-0.01826392720935475,-0.01765144389608031,277.55336434594517
20160107,0.05840052399626273,-0.027112071110832112,-0.030444228323121103,293.2017191206212
20160108,0.05734678756251006,-0.018127944410054,-0.018270897497136507,304.0757667726157
20160111,0.057448412081245695,0.0016712697606335576,0.003012401645007934,303.0009164720387
20160112,0.05751770322195967,0.0011068948028505748,0.004059098133399663,302.2713104016432
20160113,0.05657350054791164,-0.01651403546509774,-0.0171398102955157,312.4452279371076
20160114,0.056424602976592464,-0.0027450091168613445,-0.0015693046572204938,314.0964125802203
20160115,0.054476395004547304,-0.03464310640376072,-0.03523554045981803,336.96382508781784
20160119,0.05424881279508615,-0.0043256582719805306,0.004195254790461123,339.7969867645885
20160120,0.05248970875401693,-0.0325785745317693,-0.03395229133004929,362.95407266106844
20160121,0.05247278938474099,-0.0005060519407466503,-0.0017244584576867616,363.18817281487003
20160122,0.053923145336390914,0.02745612289158276,0.028085281139000218,343.91377138687466
20160125,0.05242180413721821,-0.027999943102917917,-0.02775505567317882,363.8949872441448
20160126,0.05333628200497053,0.017259626216154587,0.015343750737700779,351.5236291346776
20160127,0.053563941954815626,0.0041002049473058445,0.005537897467257302,348.541855209141
20160128,0.05372912118927795,0.002919686615022824,0.0015292877420693962,346.4021075621537
20160129,0.05495017020629559,0.022564876747582664,0.029685282288282266,331.17833321123896
20160201,0.05446599910504799,-0.00895099296065546,-0.011959341134259782,337.09246961578293
20160202,0.05258125538306276,-0.03475225049285442,-0.03699731426466013,361.6913300174947
20160203,0.052316037654637784,-0.005225970957538449,-0.012651446996523874,365.36783571395154
20160204,0.05318149325294805,0.01635587186751945,0.014117313373240403,353.5728791840698
20160205,0.05253202408785234,-0.012383301390029985,-0.00924864698210559,362.369578259497
20160208,0.050610425449525744,-0.03676249274230867,-0.038375607667691325,390.40918238623516
20160209,0.04979471758837088,-0.01633743890199354,-0.021215315135608814,403.30485750401635
20160210,0.04972510719688866,-0.0016346235530875987,0.0012318867878591266,404.4348242835464
20160211,0.04759657632600118,-0.043044078678214616,-0.04540723291930859,441.4165080900864
20160212,0.050131700221751195,0.052978422001349265,0.055287797557424856,397.90109288371565
20160216,0.051181827997583335,0.020717637554370026,0.015583243106487732,381.7406547287103
20160217,0.052235305045502355,0.020374308378853758,0.019873623364545567,366.49810166569455
20160218,0.05151494237621515,-0.013979204824780822,-0.014410058479739196,376.8196685820171
20160219,0.05126856566752858,-0.0049848573311031975,-0.0049877180955889555,380.4500672058633
20160222,0.051672090524999104,0.007663781767770499,0.011253362623997898,374.5311423621365
20160223,0.0503404854470322,-0.025969495074564853,-0.025083193604691023,394.6073784271981
20160224,0.04982302513263256,-0.010504700943314713,-0.009925198165513738,402.84670279163913
20160225,0.0509355104827556,0.022092649339367203,0.021572695011054188,385.44167845440853
20160226,0.05148170213073228,0.010509625993351415,0.014927203520809451,377.3064287888325
20160229,0.05120161313140982,-0.005643429360972741,-0.00569378897683559,381.4456901672944
20160301,0.05271741962304971,0.02939633001050354,0.03050567532792936,359.825312217356
20160302,0.05361100531235216,0.016770994081214043,0.017233962020539506,347.93017670092456
20160303,0.05406158350045855,0.008241335582340461,0.009419232094405094,342.15467265617957
20160304,0.05451195060317861,0.008175367934379264,0.006895117948237273,336.52439692285867
20160307,0.05448735582973632,-0.0005985948295039133,-0.0021480523037045174,336.8282695983578
20160308,0.05364266615786974,-0.01565032852184455,-0.014511032283657799,347.5195888791236
20160309,0.0537853629720801,0.0024974537355580604,0.00105027113024736,345.67804119917565
20160310,0.05364623517049822,-0.0027468647607652714,-0.002926295252945299,347.47335038579416
20160311,0.05519048278567507,0.028623140279063507,0.02740723978662163,328.30055260368164
20160314,0.05487105150840275,-0.005923625542815048,-0.003102608880591995,332.13407538942226
20160315,0.05463672759982255,-0.0044116938494907386,-0.002857062122752718,334.98907234030906
20160316,0.05403566502999126,-0.01114633356762341,-0.010458846955589629,342.4829836927318
20160317,0.054825852351216786,0.014467721519851102,0.0023301903679437963,332.6819325683325
20160318,0.05546058738256277,0.011435275634588076,0.01297511899469539,325.1105555785199
20160321,0.055325796023337405,-0.0025616956698437275,-0.0005369127246893646,326.6966322070191
20160322,0.054931713150088796,-0.007256502870264096,-0.005167283912496878,331.4009224469628
20160323,0.054302203747510644,-0.011600067098443948,-0.008379397560656976,339.12912562147744
20160324,0.053625352372216266,-0.012615581703539797,-0.01311139431769659,347.74402939943684
20160328,0.05373439201784447,0.0018703680691243814,0.0011018337381265564,346.33415344534086
20160329,0.05364720857900808,-0.0017835368637643455,-0.005088525133843613,347.46074095255017
20160330,0.05413434574734619,0.008917780705886499,0.006447251501793039,341.23550716000364
20160331,0.051083329959896395,-0.05651406103874682,-0.00441868818922031,383.21420611844525
20160401,0.05099707358804293,-0.001899198087816435,0.0013976421754584578,384.51163826666016
20160404,0.05069493144414961,-0.0061370520365303955,-0.0058201980553397314,389.1086808423617
20160405,0.04958649480504198,-0.022083200651598373,-0.020559629079741404,406.6990711198924
20160406,0.04977028653994472,0.003465479982599217,0.0034596442897394386,403.70090018451015
20160407,0.04868669624986058,-0.022009014044915218,-0.02117910858930927,421.8707247580736
20160408,0.04927072257638751,0.011735452354942914,0.009480141284774701,411.9287814195482
20160411,0.049690602024234566,0.008274238929904424,0.006028834262370886,404.99669868561057
20160412,0.05047023345881383,0.015450878471155246,0.015676306269975848,392.58108657741417
20160413,0.05244395099123783,0.038883696305895214,0.04336427392641795,363.58770957566435
20160414,0.05298116623453627,0.010059038529423409,0.012399667069459719,356.25172201488556
20160415,0.0527287978263469,-0.004937998692950839,-0.006285724469996312,359.670037529207
20160418,0.05816877499018408,0.10298971861076892,0.004187131983551806,295.54265081495674
20160419,0.05922175730763619,0.01801401346891477,0.016132026671497934,285.1263926800131
20160420,0.06028166566785209,0.01782480182187023,0.01912459371670816,275.18801276666215
20160421,0.0600715532034274,-0.0035427402512539044,-0.0010503382254067883,277.1164313877314
20160422,0.06040040211233143,0.005414078171483688,0.006939932532202153,274.1071348721283
20160425,0.06004728185859153,-0.005901876215686352,-0.008150089032895269,277.34049974163577
20160426,0.060615649475549975,0.009404780428903841,0.008364409076185408,272.1638716402008
20160427,0.06069643166360679,0.0012801616786514423,0.001571386335307512,271.4398962221053
20160428,0.060346940327949024,-0.005809426910999419,-0.008523251355882833,274.59301692738
20160429,0.05925970971827429,-0.0180726403032747,-0.012381017385217241,284.7612957599135
20160502,0.05948973118801837,0.003809660292116127,0.0028458844276477713,282.5634516003205
20160503,0.05817198240053773,-0.022219432469457293,-0.020897579721945836,295.51006122848275
20160504,0.05723794697837465,-0.016144577773520172,-0.013003316902488238,305.23329433613725
20160505,0.056952685745008245,-0.005086316438712872,-0.005120045433403275,308.29862070171316
20160506,0.05685599721580978,-0.001804732140818462,0.0005819727132987396,309.34808911271585
20160509,0.056453770860205,-0.0071830420788468715,-0.00505914563726062,313.77192899907226
20160510,0.05734311100827934,0.015638419996644618,0.016443264168288785,304.11475966525285
20160511,0.05716741393873546,-0.0031648537274099916,-0.005661689143532045,305.9869514216155
20160512,0.056844779619415,-0.005747320653086129,-0.003771098117516747,309.4701930042836
20160513,0.05626182385546074,-0.010363965677823536,-0.007639680563142792,315.916556252485
20160516,0.0564209940979996,0.002710991159864446,0.001876185567940336,314.1365952140069
20160517,0.05644622844960397,0.0003317192611143778,0.0001825671590194311,313.8557877404725
20160518,0.05788507747300663,0.025375489183145094,0.02700425628942882,298.44668699823967
20160519,0.057239132989182345,-0.01125159068054739,-0.00644301063340047,305.2206454291196
20160520,0.057456233203156064,0.0036903437973158826,0.005444712355033632,302.91843122433613
20160523,0.057499346739861,0.0006512428535919654,0.0006080890620114854,302.46433950216027
20160524,0.05838973236177718,0.015386684629459533,0.016022661437294472,293.3101086628694
20160525,0.05954593768181516,0.019716680949173265,0.02090798428678764,282.03026979481035
20160526,0.059364873621028484,-0.003108501944967007,-0.004278518311371382,283.75328942801355
