% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2018
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2018 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2018, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199306	 -0.01843859	  0.00993339	 -0.03221574	
199307	 -0.02059745	  0.00601141	 -0.01314660	
199308	  0.04139443	  0.02369894	  0.01569838	
199309	  0.02479967	  0.03621043	 -0.07627760	
199310	  0.00074332	  0.01325274	  0.04791693	
199311	  0.00754075	  0.02087576	  0.05129774	
199312	  0.04937983	  0.03055639	  0.01259124	
199401	  0.03872394	  0.06817379	 -0.00361544	
199402	 -0.05102415	 -0.03970950	  0.00979925	
199403	 -0.01682614	 -0.01042840	  0.02695421	
199404	 -0.07566088	 -0.05200581	  0.00612393	
199405	 -0.03897327	 -0.00165832	  0.03175964	
199406	 -0.07875602	 -0.03445708	  0.00005457	
199407	  0.01171714	  0.06270372	 -0.01059753	
199408	 -0.01747568	  0.03590139	  0.00507026	
199409	  0.02057101	  0.01571095	  0.03112048	
199410	  0.02947205	  0.03152924	  0.01237485	
199411	 -0.01553017	 -0.04715197	 -0.01963511	
199412	 -0.03327381	 -0.01374698	  0.01729069	
199501	  0.02207987	  0.06167591	 -0.03279159	
199502	  0.02342939	  0.02427074	 -0.00700056	
199503	  0.00997871	 -0.01350279	  0.01697178	
199504	  0.03154873	  0.04951060	  0.01060802	
199505	 -0.00229179	  0.00320920	 -0.00611823	
199506	 -0.02610713	 -0.03395397	  0.00737955	
199507	 -0.00699820	  0.01153404	  0.04921159	
199508	 -0.00312187	  0.01867022	 -0.01005996	
199509	 -0.02976615	 -0.02640812	 -0.07500886	
199510	 -0.00930418	  0.00457724	  0.03448483	
199511	  0.03076915	  0.05748928	 -0.01948926	
199512	 -0.06593775	 -0.03051268	 -0.03359063	
199601	 -0.01592480	 -0.00904002	  0.06761418	
199602	  0.02422450	  0.07469918	  0.04212606	
199603	 -0.05219408	 -0.04533798	 -0.04660315	
199604	 -0.02548453	  0.01685654	 -0.04313148	
199605	  0.01177107	  0.02386749	 -0.02531155	
199606	 -0.00953222	 -0.01018477	 -0.05483254	
199607	 -0.03310392	 -0.01081812	  0.00345686	
199608	  0.06344509	  0.08968513	  0.00626772	
199609	 -0.00118043	 -0.01821710	 -0.01824066	
199610	 -0.01307404	 -0.03797991	 -0.00559955	
199611	 -0.00753794	 -0.01308437	  0.07297212	
199612	  0.01327599	  0.02424060	 -0.03187147	
199701	 -0.01694960	  0.05057885	 -0.03369150	
199702	  0.00269968	 -0.01494740	 -0.03754297	
199703	 -0.00768426	  0.01529858	  0.02196722	
199704	  0.01696851	  0.01770826	  0.06018774	
199705	  0.02749439	  0.04223001	  0.01435957	
199706	 -0.01007142	 -0.00733975	  0.01102043	
199707	 -0.00798009	  0.00060658	  0.02660677	
199708	 -0.05689298	 -0.01161173	 -0.00921730	
199709	 -0.02838423	  0.03297643	 -0.01455866	
199710	 -0.17153537	 -0.11003766	 -0.00050029	
199711	  0.02224616	  0.07157351	  0.05764319	
199712	 -0.02201884	  0.03182710	  0.00479909	
199801	 -0.04352756	 -0.07174546	  0.00528078	
199802	 -0.12040810	 -0.00164634	  0.05862331	
199803	 -0.05874171	 -0.00653998	 -0.02410618	
199804	  0.04012660	  0.09497690	 -0.01171442	
199805	  0.00684094	  0.01302918	 -0.01124627	
199806	 -0.05394230	 -0.03210647	  0.01649104	
199807	 -0.05160919	  0.00042223	  0.00375897	
199808	 -0.05080818	  0.01225656	 -0.03030351	
199809	 -0.27515771	 -0.25716163	  0.01573138	
199810	 -0.04263668	  0.06067414	  0.01445735	
199811	  0.04822847	  0.11984188	  0.00826870	
199812	 -0.14738865	 -0.10755292	 -0.00591866	
199901	  0.06408701	  0.06650334	  0.03903093	
199902	 -0.08640364	 -0.06258527	  0.02765880	
199903	 -0.06060013	 -0.00623964	 -0.00661235	
199904	  0.19785399	  0.27907932	  0.09824777	
199905	 -0.13421841	 -0.13981041	 -0.00930872	
199906	  0.05775323	  0.05944461	  0.03237338	
199907	  0.06769164	  0.05645169	 -0.01627005	
199908	  0.05160670	 -0.01631712	 -0.00023350	
199909	 -0.04794027	 -0.07736066	 -0.03580708	
199910	  0.09836475	  0.08217780	  0.09503395	
199911	 -0.00089915	 -0.03949772	 -0.01705663	
199912	 -0.07469592	 -0.08575394	  0.03882043	
200001	 -0.06795454	 -0.04541552	  0.01319934	
200002	 -0.04164722	 -0.01207622	  0.01094486	
200003	 -0.00634113	  0.11044102	 -0.00012953	
200004	 -0.22431634	 -0.21672749	 -0.04575738	
200005	  0.06532549	  0.08211697	 -0.02774869	
200006	 -0.18198733	 -0.15548054	 -0.03494560	
200007	  0.05848898	 -0.06009606	  0.11186418	
200008	 -0.07033186	  0.01867163	 -0.00779827	
200009	 -0.17042364	 -0.15749683	 -0.04147104	
200010	 -0.13568903	 -0.00138753	  0.02256465	
200011	 -0.14292137	 -0.12464538	 -0.04065385	
200012	  0.09465268	  0.06644305	  0.00729017	
200101	 -0.12273458	 -0.03244735	  0.06831140	
200102	 -0.05099845	 -0.06805332	  0.04393804	
200103	 -0.05366146	  0.02649682	  0.07317705	
200104	 -0.07031392	  0.09720894	  0.00404694	
200105	  0.09950842	  0.11643753	  0.02767428	
200106	  0.01813637	  0.08744699	  0.00714508	
200107	 -0.05762420	 -0.01232568	  0.03803152	
200108	 -0.05913808	  0.05372358	  0.04892800	
200109	 -0.04149742	 -0.12085240	 -0.09705080	
200110	  0.06749552	  0.09806117	  0.03407610	
200111	  0.02174702	 -0.00652941	  0.03442078	
200112	  0.01212510	  0.04998201	  0.06763465	
